Exercise name,Trainer Link, Vimeo Link, Vimeo Image, Matched, Gender (Male/Female/Anyone),Priority,Level,Location (Gym/Home/Any),Muscle Group,Metric 1,Metric 2,Personal Best Tracking
Machine Shoulder Press,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/182,https://vimeo.com/487929334,https://i.vimeocdn.com/video/1009803283_1080x1920.jpg?r=pad,Yes,,,,Gym Only,,,,
Leg Lowers,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/61,https://vimeo.com/487929311,https://i.vimeocdn.com/video/1009803276_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Kick Sit,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/65,https://vimeo.com/487929296,https://i.vimeocdn.com/video/1009803308_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Star Jumps,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/26,https://vimeo.com/487929289,https://i.vimeocdn.com/video/1009803181_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Hip Bridge,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/68,https://vimeo.com/487929277,https://i.vimeocdn.com/video/1009803281_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Half Burpee,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/70,https://vimeo.com/487929272,https://i.vimeocdn.com/video/1009803187_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Frog Squat,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/73,https://vimeo.com/487929254,https://i.vimeocdn.com/video/1009803142_1080x1920.jpg?r=pad,Yes,,,,Home Only,,,,
Floor Back Extensions,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/75,https://vimeo.com/487929250,https://i.vimeocdn.com/video/1009803118_1080x1920.jpg?r=pad,Yes,,,,Home Only,,,,
Flat Lying Row,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/76,https://vimeo.com/487929240,https://i.vimeocdn.com/video/1009803154_1080x1920.jpg?r=pad,Yes,,,,Home Only,,,,
FacePull,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/77,https://vimeo.com/487929229,https://i.vimeocdn.com/video/1009803174_1080x1920.jpg?r=pad,Yes,,,,Gym Only,,,,
Dumbbell Upright Row,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/18,https://vimeo.com/487929215,https://i.vimeocdn.com/video/1009803178_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Dumbbell Stiff Leg Deadlift,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/146,https://vimeo.com/487929211,https://i.vimeocdn.com/video/1009803255_1080x1920.jpg?r=pad,Yes,,,,Home Only,,,,
Dumbbell Skullcrusher,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/83,https://vimeo.com/487929177,https://i.vimeocdn.com/video/1009803073_2160x3840.jpg?r=pad,Yes,,,,Home Only,,,,
Dumbbell Single Leg DeadLift,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/37,https://vimeo.com/487929176,https://i.vimeocdn.com/video/1009803047_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Dumbbell Side Bend,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/84,https://vimeo.com/487929175,https://i.vimeocdn.com/video/1009802981_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Dumbbell Shrugs,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/85,https://vimeo.com/487929168,https://i.vimeocdn.com/video/1009803027_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Dumbbell Rear Lunges,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/86,https://vimeo.com/487929160,https://i.vimeocdn.com/video/1009802991_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Dumbbell Lateral Raise,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/89,https://vimeo.com/487929147,https://i.vimeocdn.com/video/1009803214_720x1280.jpg?r=pad,Yes,,,,Home and Gym,,,,
Dumbbell Incline Row,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/90,https://vimeo.com/487929143,https://i.vimeocdn.com/video/1009802986_1080x1920.jpg?r=pad,Yes,,,,Gym Only,,,,
Dumbbell Front Raise,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/93,https://vimeo.com/487929112,https://i.vimeocdn.com/video/1009803003_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Dumbbell Floor Press,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/74,https://vimeo.com/487929108,https://i.vimeocdn.com/video/1009802904_1080x1920.jpg?r=pad,Yes,,,,Home Only,,,,
Dumbbell DeadLift,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/96,https://vimeo.com/487929102,https://i.vimeocdn.com/video/1009803082_2160x3840.jpg?r=pad,Yes,,,,Home Only,,,,
Dumbbell Bent Over Row,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/97,https://vimeo.com/487929088,https://i.vimeocdn.com/video/1009802950_1080x1920.jpg?r=pad,Yes,,,,Home Only,,,,
Curtsy Lunge,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/165,https://vimeo.com/487929068,https://i.vimeocdn.com/video/1009802844_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Crab Walk,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/129,https://vimeo.com/487929065,https://i.vimeocdn.com/video/1009802979_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Concentration Curls,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/164,https://vimeo.com/487929058,https://i.vimeocdn.com/video/1009802845_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Close Grip Bench Press,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/102,https://vimeo.com/487929053,https://i.vimeocdn.com/video/1009802820_1080x1920.jpg?r=pad,Yes,,,,Gym Only,,,,
Chin Up,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/103,https://vimeo.com/487929049,https://i.vimeocdn.com/video/1009803042_1080x1920.jpg?r=pad,Yes,,,,Gym Only,,,,
Calf Raise Leg Press Machine,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/105,https://vimeo.com/487929039,https://i.vimeocdn.com/video/1009802797_1080x1920.jpg?r=pad,Yes,,,,Gym Only,,,,
